,stationid
# Example of a contrails coastal list
0,30054
1,30055
2,30039
3,30065
4,30029
5,30052
6,30012
7,EWPN7
8,35370047744601
9,30048
10,MINN7
11,EGHN7
12,30008
13,30030
14,HBKN7
15,JYCN7
16,WDVN7
17,30001
18,ORLN7
19,VNCN7
20,JCKN7
21,ALIN7
22,CTIN7
23,OCAN7
24,EMWN7
25,BLHN7
26,PNGN7
27,30059
28,ROFN7
29,COLN7
30,30042
31,30002
32,30064
33,30053
34,30058
35,GRMN7
36,30015
37,30069
38,30618
39,36481687613193
40,30672
41,DKBN7
42,30240
43,SNDN7
44,30669
45,30671
46,36023447541242
47,36014387543373
48,RMLN7
49,35535547536554
50,35350627527398
51,35305017530444
52,35250877536048
53,35130497541232
54,35415577546128
55,30670
56,30677
57,BATN7
58,BYBN7
59,DE_04
60,DE_01
61,DE_03
62,OTWN7
63,NR_01
64,BF_01
65,CMSDOCK
66,2234
67,2232
68,2238
69,2237
70,30258
71,30678
72,30639
73,30637
74,30681
75,30680
76,MSON7
77,30682
78,hohonu_10021_holden_beach_brunsw
